"","Sex","Mechanism","Measure","variable","value"
"19","Males","Poisons (excl. gas)","Number","1907","57"
"20","Males","Gas","Number","1907",". ."
"21","Males","Firearms","Number","1907","129"
"22","Males","Hanging","Number","1907","71"
"23","Males","Other mechanisms","Number","1907",". ."
"24","Males","All mechanisms","Number","1907","385"
"25","Females","Poisons (excl. gas)","Number","1907","32"
"26","Females","Gas","Number","1907",". ."
"27","Females","Firearms","Number","1907","3"
"28","Females","Hanging","Number","1907","12"
"29","Females","Other mechanisms","Number","1907",". ."
"30","Females","All mechanisms","Number","1907","76"
"70","Males","Poisons (excl. gas)","Number","1908","88"
"71","Males","Gas","Number","1908",". ."
"72","Males","Firearms","Number","1908","146"
"73","Males","Hanging","Number","1908","68"
"74","Males","Other mechanisms","Number","1908",". ."
"75","Males","All mechanisms","Number","1908","413"
"76","Females","Poisons (excl. gas)","Number","1908","35"
"77","Females","Gas","Number","1908",". ."
"78","Females","Firearms","Number","1908","7"
"79","Females","Hanging","Number","1908","15"
"80","Females","Other mechanisms","Number","1908",". ."
"81","Females","All mechanisms","Number","1908","84"
"121","Males","Poisons (excl. gas)","Number","1909","70"
"122","Males","Gas","Number","1909",". ."
"123","Males","Firearms","Number","1909","138"
"124","Males","Hanging","Number","1909","67"
"125","Males","Other mechanisms","Number","1909",". ."
"126","Males","All mechanisms","Number","1909","398"
"127","Females","Poisons (excl. gas)","Number","1909","54"
"128","Females","Gas","Number","1909",". ."
"129","Females","Firearms","Number","1909","6"
"130","Females","Hanging","Number","1909","9"
"131","Females","Other mechanisms","Number","1909",". ."
"132","Females","All mechanisms","Number","1909","97"
"172","Males","Poisons (excl. gas)","Number","1910","79"
"173","Males","Gas","Number","1910",". ."
"174","Males","Firearms","Number","1910","134"
"175","Males","Hanging","Number","1910","72"
"176","Males","Other mechanisms","Number","1910",". ."
"177","Males","All mechanisms","Number","1910","432"
"178","Females","Poisons (excl. gas)","Number","1910","34"
"179","Females","Gas","Number","1910",". ."
"180","Females","Firearms","Number","1910","6"
"181","Females","Hanging","Number","1910","10"
"182","Females","Other mechanisms","Number","1910",". ."
"183","Females","All mechanisms","Number","1910","84"
"223","Males","Poisons (excl. gas)","Number","1911","93"
"224","Males","Gas","Number","1911",". ."
"225","Males","Firearms","Number","1911","133"
"226","Males","Hanging","Number","1911","69"
"227","Males","Other mechanisms","Number","1911",". ."
"228","Males","All mechanisms","Number","1911","446"
"229","Females","Poisons (excl. gas)","Number","1911","52"
"230","Females","Gas","Number","1911",". ."
"231","Females","Firearms","Number","1911","9"
"232","Females","Hanging","Number","1911","10"
"233","Females","Other mechanisms","Number","1911",". ."
"234","Females","All mechanisms","Number","1911","98"
"274","Males","Poisons (excl. gas)","Number","1912","128"
"275","Males","Gas","Number","1912",". ."
"276","Males","Firearms","Number","1912","168"
"277","Males","Hanging","Number","1912","79"
"278","Males","Other mechanisms","Number","1912",". ."
"279","Males","All mechanisms","Number","1912","514"
"280","Females","Poisons (excl. gas)","Number","1912","70"
"281","Females","Gas","Number","1912",". ."
"282","Females","Firearms","Number","1912","10"
"283","Females","Hanging","Number","1912","12"
"284","Females","Other mechanisms","Number","1912",". ."
"285","Females","All mechanisms","Number","1912","118"
"325","Males","Poisons (excl. gas)","Number","1913","127"
"326","Males","Gas","Number","1913",". ."
"327","Males","Firearms","Number","1913","163"
"328","Males","Hanging","Number","1913","79"
"329","Males","Other mechanisms","Number","1913",". ."
"330","Males","All mechanisms","Number","1913","516"
"331","Females","Poisons (excl. gas)","Number","1913","76"
"332","Females","Gas","Number","1913",". ."
"333","Females","Firearms","Number","1913","9"
"334","Females","Hanging","Number","1913","22"
"335","Females","Other mechanisms","Number","1913",". ."
"336","Females","All mechanisms","Number","1913","131"
"376","Males","Poisons (excl. gas)","Number","1914","121"
"377","Males","Gas","Number","1914",". ."
"378","Males","Firearms","Number","1914","201"
"379","Males","Hanging","Number","1914","72"
"380","Males","Other mechanisms","Number","1914",". ."
"381","Males","All mechanisms","Number","1914","534"
"382","Females","Poisons (excl. gas)","Number","1914","61"
"383","Females","Gas","Number","1914",". ."
"384","Females","Firearms","Number","1914","4"
"385","Females","Hanging","Number","1914","15"
"386","Females","Other mechanisms","Number","1914",". ."
"387","Females","All mechanisms","Number","1914","109"
"427","Males","Poisons (excl. gas)","Number","1915","105"
"428","Males","Gas","Number","1915",". ."
"429","Males","Firearms","Number","1915","196"
"430","Males","Hanging","Number","1915","84"
"431","Males","Other mechanisms","Number","1915",". ."
"432","Males","All mechanisms","Number","1915","537"
"433","Females","Poisons (excl. gas)","Number","1915","64"
"434","Females","Gas","Number","1915",". ."
"435","Females","Firearms","Number","1915","5"
"436","Females","Hanging","Number","1915","18"
"437","Females","Other mechanisms","Number","1915",". ."
"438","Females","All mechanisms","Number","1915","122"
"478","Males","Poisons (excl. gas)","Number","1916","77"
"479","Males","Gas","Number","1916",". ."
"480","Males","Firearms","Number","1916","175"
"481","Males","Hanging","Number","1916","74"
"482","Males","Other mechanisms","Number","1916",". ."
"483","Males","All mechanisms","Number","1916","466"
"484","Females","Poisons (excl. gas)","Number","1916","52"
"485","Females","Gas","Number","1916",". ."
"486","Females","Firearms","Number","1916","8"
"487","Females","Hanging","Number","1916","11"
"488","Females","Other mechanisms","Number","1916",". ."
"489","Females","All mechanisms","Number","1916","111"
"529","Males","Poisons (excl. gas)","Number","1917","79"
"530","Males","Gas","Number","1917",". ."
"531","Males","Firearms","Number","1917","144"
"532","Males","Hanging","Number","1917","48"
"533","Males","Other mechanisms","Number","1917",". ."
"534","Males","All mechanisms","Number","1917","408"
"535","Females","Poisons (excl. gas)","Number","1917","45"
"536","Females","Gas","Number","1917",". ."
"537","Females","Firearms","Number","1917","7"
"538","Females","Hanging","Number","1917","13"
"539","Females","Other mechanisms","Number","1917",". ."
"540","Females","All mechanisms","Number","1917","94"
"580","Males","Poisons (excl. gas)","Number","1918","57"
"581","Males","Gas","Number","1918",". ."
"582","Males","Firearms","Number","1918","154"
"583","Males","Hanging","Number","1918","56"
"584","Males","Other mechanisms","Number","1918",". ."
"585","Males","All mechanisms","Number","1918","408"
"586","Females","Poisons (excl. gas)","Number","1918","31"
"587","Females","Gas","Number","1918",". ."
"588","Females","Firearms","Number","1918","11"
"589","Females","Hanging","Number","1918","16"
"590","Females","Other mechanisms","Number","1918",". ."
"591","Females","All mechanisms","Number","1918","90"
"631","Males","Poisons (excl. gas)","Number","1919","86"
"632","Males","Gas","Number","1919",". ."
"633","Males","Firearms","Number","1919","148"
"634","Males","Hanging","Number","1919","60"
"635","Males","Other mechanisms","Number","1919",". ."
"636","Males","All mechanisms","Number","1919","440"
"637","Females","Poisons (excl. gas)","Number","1919","47"
"638","Females","Gas","Number","1919",". ."
"639","Females","Firearms","Number","1919","7"
"640","Females","Hanging","Number","1919","15"
"641","Females","Other mechanisms","Number","1919",". ."
"642","Females","All mechanisms","Number","1919","106"
"682","Males","Poisons (excl. gas)","Number","1920","93"
"683","Males","Gas","Number","1920",". ."
"684","Males","Firearms","Number","1920","191"
"685","Males","Hanging","Number","1920","64"
"686","Males","Other mechanisms","Number","1920",". ."
"687","Males","All mechanisms","Number","1920","516"
"688","Females","Poisons (excl. gas)","Number","1920","55"
"689","Females","Gas","Number","1920",". ."
"690","Females","Firearms","Number","1920","7"
"691","Females","Hanging","Number","1920","25"
"692","Females","Other mechanisms","Number","1920",". ."
"693","Females","All mechanisms","Number","1920","120"
"733","Males","Poisons (excl. gas)","Number","1921","95"
"734","Males","Gas","Number","1921",". ."
"735","Males","Firearms","Number","1921","168"
"736","Males","Hanging","Number","1921","68"
"737","Males","Other mechanisms","Number","1921",". ."
"738","Males","All mechanisms","Number","1921","510"
"739","Females","Poisons (excl. gas)","Number","1921","54"
"740","Females","Gas","Number","1921",". ."
"741","Females","Firearms","Number","1921","8"
"742","Females","Hanging","Number","1921","13"
"743","Females","Other mechanisms","Number","1921",". ."
"744","Females","All mechanisms","Number","1921","111"
"784","Males","Poisons (excl. gas)","Number","1922","91"
"785","Males","Gas","Number","1922","n.p."
"786","Males","Firearms","Number","1922","119"
"787","Males","Hanging","Number","1922","70"
"788","Males","Other mechanisms","Number","1922",". ."
"789","Males","All mechanisms","Number","1922","441"
"790","Females","Poisons (excl. gas)","Number","1922","44"
"791","Females","Gas","Number","1922","0"
"792","Females","Firearms","Number","1922","3"
"793","Females","Hanging","Number","1922","9"
"794","Females","Other mechanisms","Number","1922",". ."
"795","Females","All mechanisms","Number","1922","92"
"835","Males","Poisons (excl. gas)","Number","1923","115"
"836","Males","Gas","Number","1923","6"
"837","Males","Firearms","Number","1923","141"
"838","Males","Hanging","Number","1923","75"
"839","Males","Other mechanisms","Number","1923",". ."
"840","Males","All mechanisms","Number","1923","492"
"841","Females","Poisons (excl. gas)","Number","1923","43"
"842","Females","Gas","Number","1923","8"
"843","Females","Firearms","Number","1923","7"
"844","Females","Hanging","Number","1923","10"
"845","Females","Other mechanisms","Number","1923",". ."
"846","Females","All mechanisms","Number","1923","107"
"886","Males","Poisons (excl. gas)","Number","1924","104"
"887","Males","Gas","Number","1924","7"
"888","Males","Firearms","Number","1924","167"
"889","Males","Hanging","Number","1924","80"
"890","Males","Other mechanisms","Number","1924",". ."
"891","Males","All mechanisms","Number","1924","534"
"892","Females","Poisons (excl. gas)","Number","1924","44"
"893","Females","Gas","Number","1924","5"
"894","Females","Firearms","Number","1924","12"
"895","Females","Hanging","Number","1924","21"
"896","Females","Other mechanisms","Number","1924",". ."
"897","Females","All mechanisms","Number","1924","119"
"937","Males","Poisons (excl. gas)","Number","1925","114"
"938","Males","Gas","Number","1925","10"
"939","Males","Firearms","Number","1925","169"
"940","Males","Hanging","Number","1925","86"
"941","Males","Other mechanisms","Number","1925",". ."
"942","Males","All mechanisms","Number","1925","569"
"943","Females","Poisons (excl. gas)","Number","1925","57"
"944","Females","Gas","Number","1925","4"
"945","Females","Firearms","Number","1925","5"
"946","Females","Hanging","Number","1925","19"
"947","Females","Other mechanisms","Number","1925",". ."
"948","Females","All mechanisms","Number","1925","131"
"988","Males","Poisons (excl. gas)","Number","1926","129"
"989","Males","Gas","Number","1926","14"
"990","Males","Firearms","Number","1926","172"
"991","Males","Hanging","Number","1926","81"
"992","Males","Other mechanisms","Number","1926",". ."
"993","Males","All mechanisms","Number","1926","583"
"994","Females","Poisons (excl. gas)","Number","1926","44"
"995","Females","Gas","Number","1926","6"
"996","Females","Firearms","Number","1926","5"
"997","Females","Hanging","Number","1926","26"
"998","Females","Other mechanisms","Number","1926",". ."
"999","Females","All mechanisms","Number","1926","128"
"1039","Males","Poisons (excl. gas)","Number","1927","141"
"1040","Males","Gas","Number","1927","13"
"1041","Males","Firearms","Number","1927","189"
"1042","Males","Hanging","Number","1927","92"
"1043","Males","Other mechanisms","Number","1927",". ."
"1044","Males","All mechanisms","Number","1927","598"
"1045","Females","Poisons (excl. gas)","Number","1927","71"
"1046","Females","Gas","Number","1927","3"
"1047","Females","Firearms","Number","1927","11"
"1048","Females","Hanging","Number","1927","23"
"1049","Females","Other mechanisms","Number","1927",". ."
"1050","Females","All mechanisms","Number","1927","142"
"1090","Males","Poisons (excl. gas)","Number","1928","160"
"1091","Males","Gas","Number","1928","25"
"1092","Males","Firearms","Number","1928","181"
"1093","Males","Hanging","Number","1928","99"
"1094","Males","Other mechanisms","Number","1928",". ."
"1095","Males","All mechanisms","Number","1928","635"
"1096","Females","Poisons (excl. gas)","Number","1928","61"
"1097","Females","Gas","Number","1928","12"
"1098","Females","Firearms","Number","1928","7"
"1099","Females","Hanging","Number","1928","25"
"1100","Females","Other mechanisms","Number","1928",". ."
"1101","Females","All mechanisms","Number","1928","142"
"1141","Males","Poisons (excl. gas)","Number","1929","152"
"1142","Males","Gas","Number","1929","23"
"1143","Males","Firearms","Number","1929","203"
"1144","Males","Hanging","Number","1929","93"
"1145","Males","Other mechanisms","Number","1929",". ."
"1146","Males","All mechanisms","Number","1929","644"
"1147","Females","Poisons (excl. gas)","Number","1929","62"
"1148","Females","Gas","Number","1929","14"
"1149","Females","Firearms","Number","1929","7"
"1150","Females","Hanging","Number","1929","18"
"1151","Females","Other mechanisms","Number","1929",". ."
"1152","Females","All mechanisms","Number","1929","141"
"1192","Males","Poisons (excl. gas)","Number","1930","197"
"1193","Males","Gas","Number","1930","49"
"1194","Males","Firearms","Number","1930","239"
"1195","Males","Hanging","Number","1930","99"
"1196","Males","Other mechanisms","Number","1930",". ."
"1197","Males","All mechanisms","Number","1930","791"
"1198","Females","Poisons (excl. gas)","Number","1930","73"
"1199","Females","Gas","Number","1930","9"
"1200","Females","Firearms","Number","1930","7"
"1201","Females","Hanging","Number","1930","16"
"1202","Females","Other mechanisms","Number","1930",". ."
"1203","Females","All mechanisms","Number","1930","152"
"1243","Males","Poisons (excl. gas)","Number","1931","148"
"1244","Males","Gas","Number","1931","39"
"1245","Males","Firearms","Number","1931","231"
"1246","Males","Hanging","Number","1931","94"
"1247","Males","Other mechanisms","Number","1931",". ."
"1248","Males","All mechanisms","Number","1931","689"
"1249","Females","Poisons (excl. gas)","Number","1931","42"
"1250","Females","Gas","Number","1931","14"
"1251","Females","Firearms","Number","1931","16"
"1252","Females","Hanging","Number","1931","13"
"1253","Females","Other mechanisms","Number","1931",". ."
"1254","Females","All mechanisms","Number","1931","138"
"1294","Males","Poisons (excl. gas)","Number","1932","127"
"1295","Males","Gas","Number","1932","31"
"1296","Males","Firearms","Number","1932","169"
"1297","Males","Hanging","Number","1932","83"
"1298","Males","Other mechanisms","Number","1932",". ."
"1299","Males","All mechanisms","Number","1932","598"
"1300","Females","Poisons (excl. gas)","Number","1932","70"
"1301","Females","Gas","Number","1932","24"
"1302","Females","Firearms","Number","1932","5"
"1303","Females","Hanging","Number","1932","15"
"1304","Females","Other mechanisms","Number","1932",". ."
"1305","Females","All mechanisms","Number","1932","156"
"1345","Males","Poisons (excl. gas)","Number","1933","129"
"1346","Males","Gas","Number","1933","40"
"1347","Males","Firearms","Number","1933","196"
"1348","Males","Hanging","Number","1933","87"
"1349","Males","Other mechanisms","Number","1933",". ."
"1350","Males","All mechanisms","Number","1933","633"
"1351","Females","Poisons (excl. gas)","Number","1933","72"
"1352","Females","Gas","Number","1933","18"
"1353","Females","Firearms","Number","1933","9"
"1354","Females","Hanging","Number","1933","16"
"1355","Females","Other mechanisms","Number","1933",". ."
"1356","Females","All mechanisms","Number","1933","157"
"1396","Males","Poisons (excl. gas)","Number","1934","144"
"1397","Males","Gas","Number","1934","41"
"1398","Males","Firearms","Number","1934","202"
"1399","Males","Hanging","Number","1934","73"
"1400","Males","Other mechanisms","Number","1934",". ."
"1401","Males","All mechanisms","Number","1934","643"
"1402","Females","Poisons (excl. gas)","Number","1934","68"
"1403","Females","Gas","Number","1934","29"
"1404","Females","Firearms","Number","1934","12"
"1405","Females","Hanging","Number","1934","18"
"1406","Females","Other mechanisms","Number","1934",". ."
"1407","Females","All mechanisms","Number","1934","183"
"1447","Males","Poisons (excl. gas)","Number","1935","147"
"1448","Males","Gas","Number","1935","44"
"1449","Males","Firearms","Number","1935","197"
"1450","Males","Hanging","Number","1935","81"
"1451","Males","Other mechanisms","Number","1935",". ."
"1452","Males","All mechanisms","Number","1935","612"
"1453","Females","Poisons (excl. gas)","Number","1935","82"
"1454","Females","Gas","Number","1935","13"
"1455","Females","Firearms","Number","1935","12"
"1456","Females","Hanging","Number","1935","23"
"1457","Females","Other mechanisms","Number","1935",". ."
"1458","Females","All mechanisms","Number","1935","179"
"1498","Males","Poisons (excl. gas)","Number","1936","118"
"1499","Males","Gas","Number","1936","43"
"1500","Males","Firearms","Number","1936","226"
"1501","Males","Hanging","Number","1936","75"
"1502","Males","Other mechanisms","Number","1936",". ."
"1503","Males","All mechanisms","Number","1936","611"
"1504","Females","Poisons (excl. gas)","Number","1936","75"
"1505","Females","Gas","Number","1936","35"
"1506","Females","Firearms","Number","1936","9"
"1507","Females","Hanging","Number","1936","14"
"1508","Females","Other mechanisms","Number","1936",". ."
"1509","Females","All mechanisms","Number","1936","178"
"1549","Males","Poisons (excl. gas)","Number","1937","112"
"1550","Males","Gas","Number","1937","45"
"1551","Males","Firearms","Number","1937","190"
"1552","Males","Hanging","Number","1937","62"
"1553","Males","Other mechanisms","Number","1937",". ."
"1554","Males","All mechanisms","Number","1937","573"
"1555","Females","Poisons (excl. gas)","Number","1937","54"
"1556","Females","Gas","Number","1937","23"
"1557","Females","Firearms","Number","1937","14"
"1558","Females","Hanging","Number","1937","14"
"1559","Females","Other mechanisms","Number","1937",". ."
"1560","Females","All mechanisms","Number","1937","148"
"1600","Males","Poisons (excl. gas)","Number","1938","103"
"1601","Males","Gas","Number","1938","38"
"1602","Males","Firearms","Number","1938","207"
"1603","Males","Hanging","Number","1938","72"
"1604","Males","Other mechanisms","Number","1938",". ."
"1605","Males","All mechanisms","Number","1938","574"
"1606","Females","Poisons (excl. gas)","Number","1938","67"
"1607","Females","Gas","Number","1938","17"
"1608","Females","Firearms","Number","1938","15"
"1609","Females","Hanging","Number","1938","24"
"1610","Females","Other mechanisms","Number","1938",". ."
"1611","Females","All mechanisms","Number","1938","169"
"1651","Males","Poisons (excl. gas)","Number","1939","118"
"1652","Males","Gas","Number","1939","51"
"1653","Males","Firearms","Number","1939","187"
"1654","Males","Hanging","Number","1939","108"
"1655","Males","Other mechanisms","Number","1939",". ."
"1656","Males","All mechanisms","Number","1939","602"
"1657","Females","Poisons (excl. gas)","Number","1939","70"
"1658","Females","Gas","Number","1939","32"
"1659","Females","Firearms","Number","1939","10"
"1660","Females","Hanging","Number","1939","23"
"1661","Females","Other mechanisms","Number","1939",". ."
"1662","Females","All mechanisms","Number","1939","179"
"1702","Males","Poisons (excl. gas)","Number","1940","112"
"1703","Males","Gas","Number","1940","36"
"1704","Males","Firearms","Number","1940","216"
"1705","Males","Hanging","Number","1940","81"
"1706","Males","Other mechanisms","Number","1940",". ."
"1707","Males","All mechanisms","Number","1940","568"
"1708","Females","Poisons (excl. gas)","Number","1940","62"
"1709","Females","Gas","Number","1940","35"
"1710","Females","Firearms","Number","1940","13"
"1711","Females","Hanging","Number","1940","19"
"1712","Females","Other mechanisms","Number","1940",". ."
"1713","Females","All mechanisms","Number","1940","175"
"1753","Males","Poisons (excl. gas)","Number","1941","75"
"1754","Males","Gas","Number","1941","54"
"1755","Males","Firearms","Number","1941","149"
"1756","Males","Hanging","Number","1941","60"
"1757","Males","Other mechanisms","Number","1941",". ."
"1758","Males","All mechanisms","Number","1941","463"
"1759","Females","Poisons (excl. gas)","Number","1941","62"
"1760","Females","Gas","Number","1941","20"
"1761","Females","Firearms","Number","1941","10"
"1762","Females","Hanging","Number","1941","24"
"1763","Females","Other mechanisms","Number","1941",". ."
"1764","Females","All mechanisms","Number","1941","161"
"1804","Males","Poisons (excl. gas)","Number","1942","57"
"1805","Males","Gas","Number","1942","45"
"1806","Males","Firearms","Number","1942","134"
"1807","Males","Hanging","Number","1942","71"
"1808","Males","Other mechanisms","Number","1942",". ."
"1809","Males","All mechanisms","Number","1942","432"
"1810","Females","Poisons (excl. gas)","Number","1942","60"
"1811","Females","Gas","Number","1942","25"
"1812","Females","Firearms","Number","1942","12"
"1813","Females","Hanging","Number","1942","22"
"1814","Females","Other mechanisms","Number","1942",". ."
"1815","Females","All mechanisms","Number","1942","162"
"1855","Males","Poisons (excl. gas)","Number","1943","52"
"1856","Males","Gas","Number","1943","37"
"1857","Males","Firearms","Number","1943","106"
"1858","Males","Hanging","Number","1943","71"
"1859","Males","Other mechanisms","Number","1943",". ."
"1860","Males","All mechanisms","Number","1943","376"
"1861","Females","Poisons (excl. gas)","Number","1943","41"
"1862","Females","Gas","Number","1943","23"
"1863","Females","Firearms","Number","1943","13"
"1864","Females","Hanging","Number","1943","27"
"1865","Females","Other mechanisms","Number","1943",". ."
"1866","Females","All mechanisms","Number","1943","140"
"1906","Males","Poisons (excl. gas)","Number","1944","51"
"1907","Males","Gas","Number","1944","42"
"1908","Males","Firearms","Number","1944","105"
"1909","Males","Hanging","Number","1944","72"
"1910","Males","Other mechanisms","Number","1944",". ."
"1911","Males","All mechanisms","Number","1944","362"
"1912","Females","Poisons (excl. gas)","Number","1944","53"
"1913","Females","Gas","Number","1944","48"
"1914","Females","Firearms","Number","1944","14"
"1915","Females","Hanging","Number","1944","20"
"1916","Females","Other mechanisms","Number","1944",". ."
"1917","Females","All mechanisms","Number","1944","178"
"1957","Males","Poisons (excl. gas)","Number","1945","69"
"1958","Males","Gas","Number","1945","37"
"1959","Males","Firearms","Number","1945","112"
"1960","Males","Hanging","Number","1945","71"
"1961","Males","Other mechanisms","Number","1945",". ."
"1962","Males","All mechanisms","Number","1945","394"
"1963","Females","Poisons (excl. gas)","Number","1945","60"
"1964","Females","Gas","Number","1945","23"
"1965","Females","Firearms","Number","1945","11"
"1966","Females","Hanging","Number","1945","20"
"1967","Females","Other mechanisms","Number","1945",". ."
"1968","Females","All mechanisms","Number","1945","173"
"2008","Males","Poisons (excl. gas)","Number","1946","90"
"2009","Males","Gas","Number","1946","42"
"2010","Males","Firearms","Number","1946","160"
"2011","Males","Hanging","Number","1946","86"
"2012","Males","Other mechanisms","Number","1946",". ."
"2013","Males","All mechanisms","Number","1946","513"
"2014","Females","Poisons (excl. gas)","Number","1946","70"
"2015","Females","Gas","Number","1946","42"
"2016","Females","Firearms","Number","1946","14"
"2017","Females","Hanging","Number","1946","28"
"2018","Females","Other mechanisms","Number","1946",". ."
"2019","Females","All mechanisms","Number","1946","219"
"2059","Males","Poisons (excl. gas)","Number","1947","72"
"2060","Males","Gas","Number","1947","35"
"2061","Males","Firearms","Number","1947","177"
"2062","Males","Hanging","Number","1947","111"
"2063","Males","Other mechanisms","Number","1947",". ."
"2064","Males","All mechanisms","Number","1947","546"
"2065","Females","Poisons (excl. gas)","Number","1947","70"
"2066","Females","Gas","Number","1947","34"
"2067","Females","Firearms","Number","1947","12"
"2068","Females","Hanging","Number","1947","27"
"2069","Females","Other mechanisms","Number","1947",". ."
"2070","Females","All mechanisms","Number","1947","200"
"2110","Males","Poisons (excl. gas)","Number","1948","99"
"2111","Males","Gas","Number","1948","62"
"2112","Males","Firearms","Number","1948","165"
"2113","Males","Hanging","Number","1948","131"
"2114","Males","Other mechanisms","Number","1948",". ."
"2115","Males","All mechanisms","Number","1948","578"
"2116","Females","Poisons (excl. gas)","Number","1948","61"
"2117","Females","Gas","Number","1948","29"
"2118","Females","Firearms","Number","1948","9"
"2119","Females","Hanging","Number","1948","19"
"2120","Females","Other mechanisms","Number","1948",". ."
"2121","Females","All mechanisms","Number","1948","159"
"2161","Males","Poisons (excl. gas)","Number","1949","98"
"2162","Males","Gas","Number","1949","59"
"2163","Males","Firearms","Number","1949","199"
"2164","Males","Hanging","Number","1949","107"
"2165","Males","Other mechanisms","Number","1949",". ."
"2166","Males","All mechanisms","Number","1949","599"
"2167","Females","Poisons (excl. gas)","Number","1949","57"
"2168","Females","Gas","Number","1949","27"
"2169","Females","Firearms","Number","1949","11"
"2170","Females","Hanging","Number","1949","31"
"2171","Females","Other mechanisms","Number","1949",". ."
